submodel,bandai,operator_en,operator_jp,special_formation,special_livery,category_path_json,category_path
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 57 steam locomotive"", ""C57 57 steam locomotive at Okura Sports Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 57 steam locomotive', 'C57 57 steam locomotive at Okura Sports Park']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 57 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 57 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 66 steam locomotive"", ""C57 66 steam locomotive at Iriarai Nishi Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 66 steam locomotive', 'C57 66 steam locomotive at Iriarai Nishi Park']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 7 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 7 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 87 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 87 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""C57 180 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'C57 180 steam locomotive']"
,,JR West,JR西日本,SL Kita-Biwako,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1"", ""JR West C57 1 as SL Kita-Biwako""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1', 'JR West C57 1 as SL Kita-Biwako']"
,,JR West,JR西日本,SL Yamaguchi,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1"", ""JR West C57 1 as SL Yamaguchi""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1', 'JR West C57 1 as SL Yamaguchi']"
,,JR West,JR西日本,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service"", ""JR West C57 1""]","['C57 steam locomotives', 'C57 steam locomotives in service', 'JR West C57 1']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives in service""]","['C57 steam locomotives', 'C57 steam locomotives in service']"
,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT271""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT271']"
CT273,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT273""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT273']"
CT278,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT278""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT278']"
CT284,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270"", ""TRA CT284""]","['C57 steam locomotives', 'TRA CT270', 'TRA CT284']"
CT270,,Taiwan Railways Administration,台湾鉄路管理局,,,"[""C57 steam locomotives"", ""TRA CT270""]","['C57 steam locomotives', 'TRA CT270']"
,,,,,,"[""C57 steam locomotives""]",['C57 steam locomotives']
,,JNR,国鉄,,Blue Liner,"[""JNR 113"", ""JNR 113 (JNR)"", ""JNR 113 (JNR) in Blue Liner livery""]","['JNR 113', 'JNR 113 (JNR)', 'JNR 113 (JNR) in Blue Liner livery']"
,,JNR,国鉄,,Kasuga,"[""JNR 113"", ""JNR 113 (JNR)"", ""JNR 113 (JNR) in Kasuga livery""]","['JNR 113', 'JNR 113 (JNR)', 'JNR 113 (JNR) in Kasuga livery']"
,,JNR,国鉄,,Shonan,"[""JNR 113"", ""JNR 113 (JNR)"", ""JNR 113 (JNR) in Shonan livery""]","['JNR 113', 'JNR 113 (JNR)', 'JNR 113 (JNR) in Shonan livery']"
,,JNR,国鉄,,Yokosuka,"[""JNR 113"", ""JNR 113 (JNR)"", ""JNR 113 (JNR) in Yokosuka livery""]","['JNR 113', 'JNR 113 (JNR)', 'JNR 113 (JNR) in Yokosuka livery']"
,,JNR,国鉄,,,"[""JNR 113"", ""JNR 113 (JNR)""]","['JNR 113', 'JNR 113 (JNR)']"
,,JR Central,JR東海,,湘南,"[""JNR 113"", ""JNR 113 (JR Central)"", ""JNR 113 (JR Central) in Shonan livery""]","['JNR 113', 'JNR 113 (JR Central)', 'JNR 113 (JR Central) in Shonan livery']"
,,JR East,JR東日本,,湘南,"[""JNR 113"", ""JNR 113 (JR East)"", ""JNR 113 (JR East) in Shonan livery""]","['JNR 113', 'JNR 113 (JR East)', 'JNR 113 (JR East) in Shonan livery']"
,,JR East,JR東日本,,横須賀,"[""JNR 113"", ""JNR 113 (JR East)"", ""JNR 113 (JR East) in Yokosuka livery""]","['JNR 113', 'JNR 113 (JR East)', 'JNR 113 (JR East) in Yokosuka livery']"
Saro 124,,JR East,JR東日本,,,"[""JNR 113"", ""JNR 113 (JR East)"", ""Saro 124""]","['JNR 113', 'JNR 113 (JR East)', 'Saro 124']"
,,JR East,JR東日本,,,"[""JNR 113"", ""JNR 113 (JR East)""]","['JNR 113', 'JNR 113 (JR East)']"
,,JR Shikoku,JR四国,,,"[""JNR 113"", ""JNR 113 (JR Shikoku)""]","['JNR 113', 'JNR 113 (JR Shikoku)']"
,,JR West,JR西日本,,かすが,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 (JR West) in Kasuga livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 (JR West) in Kasuga livery']"
,,JR West,JR西日本,,湘南,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 (JR West) in Shonan livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 (JR West) in Shonan livery']"
,,JR West,JR西日本,,福知山線色,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 in Fukuchiyama Line livery (yellow and blue)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 in Fukuchiyama Line livery (yellow and blue)']"
,,JR West,JR西日本,,関西更新色,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 in Kansai renewal livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 in Kansai renewal livery']"
113,,JR West,JR西日本,,京都地域色,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 in Kyoto regional livery (green)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 in Kyoto regional livery (green)']"
113,,JR West,JR西日本,,瀬戸内地域色,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 in Setouchi regional livery (yellow)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 in Setouchi regional livery (yellow)']"
113,,JR West,JR西日本,,オーシャンカラー,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by livery"", ""JNR 113 in ocean green livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by livery', 'JNR 113 in ocean green livery']"
113,2000,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by series"", ""JR West 113-2000""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by series', 'JR West 113-2000']"
113,5300,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by series"", ""JR West 113-5300""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by series', 'JR West 113-5300']"
113-5800,5800,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by series"", ""JR West 113-5800""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by series', 'JR West 113-5800']"
113-800,800,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by series"", ""JR West 113-800"", ""JR West 415-800""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by series', 'JR West 113-800', 'JR West 415-800']"
113-3800,3800,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Fukuchiyama Line)"", ""JR West 113-3800""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Fukuchiyama Line)', 'JR West 113-3800']"
113-800,800,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Fukuchiyama Line)"", ""JR West 113-800""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Fukuchiyama Line)', 'JR West 113-800']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Fukuchiyama Line)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Fukuchiyama Line)']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Kosei Line local service)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Kosei Line local service)']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Kusatsu Line)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Kusatsu Line)']"
,,JR West,JR西日本,,小浜線,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Obama Line)"", ""JNR 113 in Obama Line livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Obama Line)', 'JNR 113 in Obama Line livery']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Obama Line)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Obama Line)']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Tōkaidō-Sanyō Line rapid service)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Tōkaidō-Sanyō Line rapid service)']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Yamatoji Line)"", ""JNR 113 (Kansai Main Line rapid service)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Yamatoji Line)', 'JNR 113 (Kansai Main Line rapid service)']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) by service"", ""JNR 113 (Yamatoji Line)""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) by service', 'JNR 113 (Yamatoji Line)']"
,,JR West,JR西日本,,Blue Liner,"[""JNR 113"", ""JNR 113 (JR West)"", ""JNR 113 (JR West) in Blue Liner livery""]","['JNR 113', 'JNR 113 (JR West)', 'JNR 113 (JR West) in Blue Liner livery']"
,,JR West,JR西日本,,,"[""JNR 113"", ""JNR 113 (JR West)""]","['JNR 113', 'JNR 113 (JR West)']"
,,,,,,"[""JNR 113"", ""JNR 113 at Tokyo Station""]","['JNR 113', 'JNR 113 at Tokyo Station']"
113,,JNR,国鉄,,Kasuga,"[""JNR 113"", ""JNR 113 by livery"", ""JNR 113 in Kasuga livery""]","['JNR 113', 'JNR 113 by livery', 'JNR 113 in Kasuga livery']"
113,,JNR,国鉄,,Shonan,"[""JNR 113"", ""JNR 113 by livery"", ""JNR 113 in Shonan livery""]","['JNR 113', 'JNR 113 by livery', 'JNR 113 in Shonan livery']"
485,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 (bonnet style)""]","['JNR 485', 'JNR 485 (bonnet style)']"
485,,JNR,国鉄,,Akabe,"[""JNR 485"", ""JNR 485 by livery"", ""Akabe""]","['JNR 485', 'JNR 485 by livery', 'Akabe']"
485,,JNR,国鉄,,JNR,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in JNR livery"", ""JNR 485 (JNR)""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in JNR livery', 'JNR 485 (JNR)']"
,,JR East,JR東日本,,JNR,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in JNR livery"", ""JNR 485 (JR East in JNR livery)""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in JNR livery', 'JNR 485 (JR East in JNR livery)']"
,,JR Kyushu,JR九州,,JNR,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in JNR livery"", ""JNR 485 (JR Kyushu in JNR livery)""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in JNR livery', 'JNR 485 (JR Kyushu in JNR livery)']"
,,JR West,JR西日本,,JNR,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in JNR livery"", ""JNR 485 (JR West in JNR livery)""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in JNR livery', 'JNR 485 (JR West in JNR livery)']"
,,,,,JNR,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in JNR livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in JNR livery']"
,,,,,Kagayaki/Kirameki,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in Kagayaki/Kirameki livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in Kagayaki/Kirameki livery']"
,,JNR,国鉄,,Kaminuttari,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in Kaminuttari livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in Kaminuttari livery']"
,,JNR,国鉄,,Red Express,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in Red Express livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in Red Express livery']"
,,JNR,国鉄,,Spacia,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in Spacia livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in Spacia livery']"
,,JNR,国鉄,,Super Raicho,"[""JNR 485"", ""JNR 485 by livery"", ""JNR 485 in Super Raicho livery""]","['JNR 485', 'JNR 485 by livery', 'JNR 485 in Super Raicho livery']"
Kuha 481,0,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481 (bonnet style)"", ""JNR 485 series Kuha 481-26 at the Railway Museum (Japan)""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481 (bonnet style)', 'JNR 485 series Kuha 481-26 at the Railway Museum (Japan)']"
Kuha 481,600,JNR,日本国有鉄道,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481 (bonnet style)"", ""JNR 485 series Kuha 481-603 at the Kyushu Railway History Museum""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481 (bonnet style)', 'JNR 485 series Kuha 481-603 at the Kyushu Railway History Museum']"
Kuha 481,,JNR,日本国有鉄道,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481 (bonnet style)""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481 (bonnet style)']"
Kuha 481,1500,JNR,日本国有鉄道,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481-1500""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481-1500']"
Kuha 481,200,JNR,日本国有鉄道,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481-246""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481-246']"
Kuha 481,800,JNR,日本国有鉄道,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481"", ""Kuha 481-800""]","['JNR 485', 'JNR 485 by model', 'Kuha 481', 'Kuha 481-800']"
Kuha 481,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuha 481""]","['JNR 485', 'JNR 485 by model', 'Kuha 481']"
Kumoha 485,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kumoha 485"", ""Kumoha 183-200""]","['JNR 485', 'JNR 485 by model', 'Kumoha 485', 'Kumoha 183-200']"
Kumoha 485,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kumoha 485""]","['JNR 485', 'JNR 485 by model', 'Kumoha 485']"
Kuro 481,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuro 481"", ""Kuro 481 (bonnet style)""]","['JNR 485', 'JNR 485 by model', 'Kuro 481', 'Kuro 481 (bonnet style)']"
Kuro 481,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuro 481"", ""Kuro 481 (panoramic car)""]","['JNR 485', 'JNR 485 by model', 'Kuro 481', 'Kuro 481 (panoramic car)']"
Kuro 481,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuro 481""]","['JNR 485', 'JNR 485 by model', 'Kuro 481']"
Kuroha 183,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuroha 481"", ""Kuroha 183""]","['JNR 485', 'JNR 485 by model', 'Kuroha 481', 'Kuroha 183']"
Kuroha 481,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Kuroha 481""]","['JNR 485', 'JNR 485 by model', 'Kuroha 481']"
Moha 484,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Moha 484""]","['JNR 485', 'JNR 485 by model', 'Moha 484']"
Moha 485,,JNR,国鉄,,,"[""JNR 485"", ""JNR 485 by model"", ""Moha 485""]","['JNR 485', 'JNR 485 by model', 'Moha 485']"
Saro 481,,,,,,"[""JNR 485"", ""JNR 485 by model"", ""Saro 481""]","['JNR 485', 'JNR 485 by model', 'Saro 481']"
Sashi 481,,,,,,"[""JNR 485"", ""JNR 485 by model"", ""Sashi 481""]","['JNR 485', 'JNR 485 by model', 'Sashi 481']"
,,JR East,JR東日本,Hana,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Hana (train, JR East)""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Hana (train, JR East)']"
,,JR East,JR東日本,,Kamoshika,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""JR East 485 in Kamoshika livery""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'JR East 485 in Kamoshika livery']"
,,JR East,JR東日本,,Viva-Aizu,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""JR East 485 in Viva-Aizu livery""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'JR East 485 in Viva-Aizu livery']"
485,,JR East,JR東日本,,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""JR East 485 in purple livery""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'JR East 485 in purple livery']"
485,3000,JR East,JR東日本,,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""JR East 485-3000""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'JR East 485-3000']"
485,,JR East,JR東日本,Kirakira Uetsu,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Kirakira Uetsu""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Kirakira Uetsu']"
485,,JR East,JR東日本,New Nanohana,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""New Nanohana""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'New Nanohana']"
485,,JR East,JR東日本,Nodoka,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Nodoka""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Nodoka']"
,,JR East,JR東日本,Resort Express Yū,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Resort Express Yū""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Resort Express Yū']"
,,JR East,JR東日本,Resort Yamadori,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Resort Yamadori""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Resort Yamadori']"
,,JR East,JR東日本,Seseragi,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Seseragi""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Seseragi']"
,,JR East,JR東日本,Utage,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Utage""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Utage']"
,,JR East,JR東日本,Yamanami,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Yamanami""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Yamanami']"
,,JR East,JR東日本,Zipangu,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)"", ""Zipangu (train)""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)', 'Zipangu (train)']"
,,JR East,JR東日本,,,"[""JNR 485"", ""JNR 485 by operator"", ""JNR 485 (JR East)""]","['JNR 485', 'JNR 485 by operator', 'JNR 485 (JR East)']"
